year,total_death,Jews_and_others_total_death,Arabs_total_death
2006,106,102,4
2006,146,129,17
2006,139,130,9
2006,105,94,11
2006,121,107,14
2006,133,122,11
2006,119,110,9
2006,101,92,9
2006,111,97,14
2006,127,117,10
2006,103,89,14
2006,123,118,5
2006,98,87,11
2006,117,99,18
2006,115,107,8
2006,111,103,8
2006,124,110,14
2006,118,106,12
2006,114,103,11
2006,123,113,10
2006,123,106,17
2006,86,82,4
2006,111,98,13
2006,118,106,12
2006,100,85,15
2006,124,111,13
2006,126,113,13
2006,131,119,12
2006,102,95,7
2006,125,111,14
2006,116,104,12
2006,139,124,15
2006,114,98,16
2006,118,105,13
2006,110,96,14
2006,122,106,16
2006,124,108,16
2006,109,99,10
2006,101,92,9
2006,139,123,16
2006,134,115,19
2006,110,99,11
2006,126,113,13
2006,118,105,13
2006,113,94,19
2006,117,104,13
2006,99,86,13
2006,117,108,9
2006,126,113,13
2006,113,100,13
2006,119,107,12
2006,133,115,18
2006,124,118,6
2006,102,94,8
2006,101,93,8
2006,114,108,6
2006,134,123,11
2006,129,112,17
2006,121,113,8
2006,90,89,1
2006,119,108,11
2006,101,89,12
2006,111,104,7
2006,114,103,11
2006,117,100,17
2006,110,102,8
2006,127,110,17
2006,107,97,10
2006,100,90,10
2006,105,95,10
2006,115,104,11
2006,120,114,6
2006,111,106,5
2006,116,101,15
2006,127,111,16
2006,100,89,11
2006,117,106,11
2006,127,118,9
2006,102,98,4
2006,134,123,11
2006,110,106,4
2006,114,106,8
2006,110,91,19
2006,110,99,11
2006,119,105,14
2006,107,103,4
2006,119,105,14
2006,105,98,7
2006,130,119,11
2006,113,97,16
2006,119,106,13
2006,119,109,10
2006,108,92,16
2006,105,95,10
2006,108,101,7
2006,88,81,7
2006,108,98,10
2006,104,93,11
2006,114,105,9
2006,115,104,11
2006,100,90,10
2006,101,93,8
2006,116,106,10
2006,101,88,13
2006,97,89,8
2006,95,93,2
2006,110,102,8
2006,115,104,11
2006,102,93,9
2006,99,92,7
2006,103,94,9
2006,99,93,6
2006,103,93,10
2006,90,76,14
2006,78,74,4
2006,75,65,10
2006,88,78,10
2006,102,92,10
2006,103,94,9
2006,99,91,8
2006,91,80,11
2006,117,106,11
2006,79,66,13
2006,87,78,9
2006,80,74,6
2006,111,101,10
2006,101,88,13
2006,102,89,13
2006,95,84,11
2006,97,86,11
2006,113,105,8
2006,95,79,16
2006,94,82,12
2006,97,87,10
2006,73,63,10
2006,104,93,11
2006,89,84,5
2006,117,107,10
2006,102,88,14
2006,111,104,7
2006,89,82,7
2006,99,91,8
2006,95,81,14
2006,102,88,14
2006,100,95,5
2006,93,87,6
2006,82,74,8
2006,96,87,9
2006,91,84,7
2006,106,95,11
2006,92,82,10
2006,81,69,12
2006,84,73,11
2006,95,85,10
2006,94,85,9
2006,119,107,12
2006,91,82,9
2006,96,86,10
2006,90,78,12
2006,107,98,9
2006,73,67,6
2006,78,66,12
2006,108,93,15
2006,92,84,8
2006,90,82,8
2006,96,89,7
2006,109,94,15
2006,109,100,9
2006,91,78,13
2006,96,89,7
2006,117,108,9
2006,96,90,6
2006,101,86,15
2006,102,84,18
2006,119,110,9
2006,99,88,11
2006,108,98,10
2006,86,82,4
2006,95,90,5
2006,112,102,10
2006,101,96,5
2006,99,91,8
2006,95,83,12
2006,99,88,11
2006,103,96,7
2006,101,87,14
2006,91,75,16
2006,94,85,9
2006,85,74,11
2006,104,92,12
2006,104,96,8
2006,82,74,8
2006,109,98,11
2006,117,103,14
2006,124,113,11
2006,96,81,15
2006,110,95,15
2006,94,87,7
2006,102,87,15
2006,106,97,9
2006,101,87,14
2006,106,93,13
2006,82,77,5
2006,107,92,15
2006,100,92,8
2006,114,97,17
2006,85,81,4
2006,102,94,8
2006,90,82,8
2006,94,83,11
2006,88,79,9
2006,96,88,8
2006,80,73,7
2006,95,88,7
2006,105,89,16
2006,105,93,12
2006,96,89,7
2006,116,101,15
2006,105,96,9
2006,99,88,11
2006,104,89,15
2006,108,100,8
2006,106,91,15
2006,114,103,11
2006,109,98,11
2006,93,82,11
2006,106,97,9
2006,109,96,13
2006,111,99,12
2006,99,88,11
2006,104,95,9
2006,102,91,11
2006,95,84,11
2006,124,102,22
2006,104,92,12
2006,89,81,8
2006,106,93,13
2006,110,99,11
2006,109,98,11
2006,104,90,14
2006,102,90,12
2006,106,97,9
2006,94,87,7
2006,83,80,3
2006,85,78,7
2006,90,79,11
2006,104,99,5
2006,92,79,13
2006,84,78,6
2006,94,85,9
2006,90,80,10
2006,103,96,7
2006,87,76,11
2006,100,86,14
2006,107,93,14
2006,116,100,16
2006,85,74,11
2006,107,99,8
2006,94,85,9
2006,103,92,11
2006,103,98,5
2006,116,108,8
2006,108,94,14
2006,95,87,8
2006,78,68,10
2006,93,83,10
2006,79,71,8
2006,105,93,12
2006,88,77,11
2006,97,87,10
2006,106,95,11
2006,116,101,15
2006,86,73,13
2006,115,101,14
2006,80,73,7
2006,91,84,7
2006,106,96,10
2006,101,88,13
2006,76,65,11
2006,99,90,9
2006,99,87,12
2006,100,85,15
2006,103,90,13
2006,78,74,4
2006,97,93,4
2006,102,90,12
2006,101,93,8
2006,97,89,8
2006,110,98,12
2006,99,82,17
2006,85,78,7
2006,104,99,5
2006,88,82,6
2006,97,92,5
2006,107,99,8
2006,97,86,11
2006,112,95,17
2006,104,89,15
2006,98,83,15
2006,88,77,11
2006,81,74,7
2006,100,87,13
2006,99,86,13
2006,101,87,14
2006,99,93,6
2006,104,97,7
2006,128,119,9
2006,107,90,17
2006,104,89,15
2006,91,80,11
2006,94,84,10
2006,92,82,10
2006,104,98,6
2006,118,105,13
2006,99,89,10
2006,107,88,19
2006,114,105,9
2006,109,95,14
2006,103,93,10
2006,112,100,12
2006,117,106,11
2006,105,88,17
2006,113,99,14
2006,105,90,15
2006,125,112,13
2006,110,98,12
2006,112,92,20
2006,113,101,12
2006,91,85,6
2006,115,105,10
2006,102,94,8
2006,101,91,10
2006,108,87,21
2006,122,112,10
2006,98,88,10
2006,102,95,7
2006,125,117,8
2006,109,95,14
2006,115,103,12
2006,126,115,11
2006,122,110,12
2006,97,89,8
2006,122,111,11
2006,119,105,14
2006,114,102,12
2006,105,96,9
2006,133,119,14
2006,117,99,18
2006,121,104,17
2006,107,97,10
2006,107,97,10
2006,121,109,12
2006,125,111,14
2006,122,109,13
2006,126,116,10
2006,105,99,6
2006,148,127,21
2006,111,98,13
2006,137,124,13
2006,144,129,15
2006,148,133,15
2006,145,127,18
2006,152,137,15
2006,132,112,20
2006,175,153,22
