year,total_death,Jews_and_others_total_death,Arabs_total_death
2010,136,116,20
2010,119,108,11
2010,119,113,6
2010,135,120,15
2010,135,117,18
2010,106,91,15
2010,127,107,20
2010,95,78,17
2010,112,99,13
2010,123,112,11
2010,133,123,10
2010,127,113,14
2010,114,102,12
2010,125,115,10
2010,117,103,14
2010,108,97,11
2010,121,113,8
2010,141,133,8
2010,116,108,8
2010,132,122,10
2010,123,110,13
2010,120,110,10
2010,95,90,5
2010,136,117,19
2010,114,108,6
2010,124,113,11
2010,124,110,14
2010,104,90,14
2010,121,114,7
2010,128,115,13
2010,137,119,18
2010,109,99,10
2010,110,104,6
2010,101,93,8
2010,128,118,10
2010,106,103,3
2010,109,96,13
2010,113,103,10
2010,125,115,10
2010,130,114,16
2010,143,117,26
2010,123,107,16
2010,117,104,13
2010,129,118,11
2010,146,134,12
2010,143,131,12
2010,133,124,9
2010,129,116,13
2010,122,109,13
2010,103,85,18
2010,114,103,11
2010,116,107,9
2010,116,97,19
2010,109,99,10
2010,122,113,9
2010,101,88,13
2010,94,84,10
2010,109,97,12
2010,104,96,8
2010,125,115,10
2010,129,116,13
2010,117,101,16
2010,130,118,12
2010,100,90,10
2010,108,98,10
2010,130,111,19
2010,121,108,13
2010,104,92,12
2010,117,102,15
2010,115,105,10
2010,122,106,16
2010,120,104,16
2010,109,96,13
2010,119,110,9
2010,99,84,15
2010,96,84,12
2010,103,95,8
2010,90,76,14
2010,134,118,16
2010,118,103,15
2010,97,85,12
2010,114,99,15
2010,125,115,10
2010,106,97,9
2010,100,89,11
2010,104,90,14
2010,111,103,8
2010,103,96,7
2010,95,87,8
2010,120,105,15
2010,108,97,11
2010,135,121,14
2010,116,100,16
2010,112,103,9
2010,99,88,11
2010,108,93,15
2010,108,94,14
2010,120,110,10
2010,113,103,10
2010,90,82,8
2010,125,112,13
2010,114,95,19
2010,85,79,6
2010,113,101,12
2010,110,95,15
2010,112,95,17
2010,94,84,10
2010,104,96,8
2010,116,105,11
2010,113,98,15
2010,92,83,9
2010,107,102,5
2010,107,98,9
2010,78,73,5
2010,108,96,12
2010,101,85,16
2010,84,76,8
2010,100,82,18
2010,106,100,6
2010,106,100,6
2010,84,73,11
2010,113,99,14
2010,103,92,11
2010,104,93,11
2010,90,77,13
2010,110,96,14
2010,94,90,4
2010,111,90,21
2010,114,100,14
2010,100,91,9
2010,122,106,16
2010,112,103,9
2010,90,82,8
2010,92,85,7
2010,93,79,14
2010,86,74,12
2010,103,93,10
2010,83,77,6
2010,113,98,15
2010,100,90,10
2010,95,83,12
2010,88,78,10
2010,106,95,11
2010,84,73,11
2010,83,75,8
2010,75,64,11
2010,103,84,19
2010,107,101,6
2010,96,89,7
2010,87,74,13
2010,97,89,8
2010,86,80,6
2010,104,97,7
2010,106,93,13
2010,94,84,10
2010,91,82,9
2010,99,87,12
2010,91,80,11
2010,110,99,11
2010,98,88,10
2010,96,77,19
2010,105,92,13
2010,97,87,10
2010,100,87,13
2010,93,79,14
2010,101,87,14
2010,92,83,9
2010,94,90,4
2010,107,101,6
2010,100,86,14
2010,104,94,10
2010,118,98,20
2010,110,101,9
2010,100,85,15
2010,100,92,8
2010,111,104,7
2010,108,101,7
2010,84,72,12
2010,89,78,11
2010,77,69,8
2010,109,96,13
2010,97,87,10
2010,96,86,10
2010,74,68,6
2010,99,89,10
2010,65,57,8
2010,90,82,8
2010,93,85,8
2010,75,71,4
2010,99,84,15
2010,78,73,5
2010,105,96,9
2010,98,87,11
2010,86,75,11
2010,82,72,10
2010,99,90,9
2010,87,83,4
2010,103,91,12
2010,109,101,8
2010,116,98,18
2010,102,87,15
2010,100,86,14
2010,103,93,10
2010,106,89,17
2010,98,86,12
2010,91,78,13
2010,117,104,13
2010,100,87,13
2010,107,98,9
2010,111,100,11
2010,80,70,10
2010,118,100,18
2010,90,79,11
2010,119,106,13
2010,122,110,12
2010,96,91,5
2010,116,100,16
2010,104,93,11
2010,126,110,16
2010,124,114,10
2010,98,88,10
2010,102,91,11
2010,94,79,15
2010,100,92,8
2010,102,88,14
2010,105,95,10
2010,95,87,8
2010,106,98,8
2010,112,95,17
2010,111,97,14
2010,97,84,13
2010,132,118,14
2010,95,85,10
2010,99,89,10
2010,99,91,8
2010,98,84,14
2010,95,84,11
2010,112,95,17
2010,110,95,15
2010,111,98,13
2010,104,92,12
2010,99,92,7
2010,137,127,10
2010,83,75,8
2010,119,106,13
2010,109,101,8
2010,103,93,10
2010,112,99,13
2010,127,110,17
2010,121,105,16
2010,90,83,7
2010,108,95,13
2010,96,83,13
2010,95,89,6
2010,102,93,9
2010,103,100,3
2010,127,114,13
2010,106,94,12
2010,96,89,7
2010,112,97,15
2010,117,97,20
2010,110,99,11
2010,79,70,9
2010,94,85,9
2010,95,87,8
2010,119,107,12
2010,110,94,16
2010,124,110,14
2010,102,92,10
2010,99,89,10
2010,104,95,9
2010,108,95,13
2010,119,107,12
2010,114,105,9
2010,104,92,12
2010,113,105,8
2010,106,93,13
2010,113,96,17
2010,96,83,13
2010,102,90,12
2010,90,77,13
2010,111,102,9
2010,98,86,12
2010,97,87,10
2010,107,95,12
2010,98,94,4
2010,108,94,14
2010,97,88,9
2010,112,98,14
2010,94,85,9
2010,108,97,11
2010,99,84,15
2010,105,94,11
2010,117,108,9
2010,110,101,9
2010,97,85,12
2010,112,100,12
2010,105,95,10
2010,97,81,16
2010,117,102,15
2010,108,98,10
2010,104,93,11
2010,112,105,7
2010,97,92,5
2010,93,85,8
2010,99,87,12
2010,107,97,10
2010,78,69,9
2010,120,105,15
2010,84,75,9
2010,115,104,11
2010,91,79,12
2010,93,83,10
2010,114,106,8
2010,100,86,14
2010,105,98,7
2010,107,100,7
2010,123,112,11
2010,130,119,11
2010,114,103,11
2010,106,92,14
2010,88,78,10
2010,88,81,7
2010,76,64,12
2010,105,94,11
2010,112,99,13
2010,103,89,14
2010,122,104,18
2010,125,117,8
2010,106,92,14
2010,110,102,8
2010,91,84,7
2010,100,89,11
2010,108,94,14
2010,119,99,20
2010,157,142,15
2010,104,91,13
2010,115,111,4
2010,116,108,8
2010,116,101,15
2010,108,99,9
2010,109,99,10
2010,133,125,8
2010,107,98,9
2010,115,106,9
2010,128,118,10
2010,132,122,10
2010,124,108,16
2010,104,90,14
2010,142,131,11
2010,142,126,16
2010,112,99,13
2010,130,117,13
2010,117,103,14
2010,125,114,11
2010,126,113,13
2010,130,122,8
2010,130,120,10
2010,125,116,9
2010,130,109,21
2010,116,103,13
2010,139,122,17
2010,149,132,17
2010,148,133,15
2010,111,101,10
