year,total_death,Jews_and_others_total_death,Arabs_total_death
2020,165,136,29
2020,167,151,16
2020,125,109,16
2020,144,130,14
2020,174,156,18
2020,176,156,20
2020,141,129,12
2020,135,121,14
2020,142,123,19
2020,144,119,25
2020,131,109,22
2020,141,130,11
2020,165,148,17
2020,122,109,13
2020,153,143,10
2020,178,163,15
2020,150,130,20
2020,157,135,22
2020,174,152,22
2020,152,134,18
2020,157,136,21
2020,129,116,13
2020,133,115,18
2020,149,129,20
2020,149,138,11
2020,132,114,18
2020,129,117,12
2020,136,124,12
2020,145,131,14
2020,144,119,25
2020,146,130,16
2020,144,130,14
2020,147,125,22
2020,143,129,14
2020,139,128,11
2020,115,101,14
2020,158,140,18
2020,125,112,13
2020,110,94,16
2020,154,135,19
2020,163,152,11
2020,118,101,17
2020,122,107,15
2020,168,152,16
2020,138,120,18
2020,139,122,17
2020,117,101,16
2020,154,139,15
2020,142,121,21
2020,162,151,11
2020,131,119,12
2020,136,115,21
2020,130,115,15
2020,134,122,12
2020,127,108,19
2020,136,116,20
2020,129,115,14
2020,133,121,12
2020,126,113,13
2020,119,103,16
2020,135,123,12
2020,122,106,16
2020,122,108,14
2020,139,125,14
2020,137,118,19
2020,132,108,24
2020,148,130,18
2020,130,113,17
2020,149,134,15
2020,150,129,21
2020,123,105,18
2020,138,116,22
2020,150,134,16
2020,139,126,13
2020,116,94,22
2020,129,114,15
2020,142,120,22
2020,137,115,22
2020,118,107,11
2020,112,97,15
2020,139,121,18
2020,116,101,15
2020,112,103,9
2020,147,128,19
2020,160,143,17
2020,134,121,13
2020,147,134,13
2020,133,118,15
2020,150,132,18
2020,127,117,10
2020,147,131,16
2020,167,146,21
2020,143,128,15
2020,135,123,12
2020,160,138,22
2020,150,138,12
2020,134,121,13
2020,126,113,13
2020,121,112,9
2020,138,119,19
2020,111,97,14
2020,122,110,12
2020,126,107,19
2020,145,131,14
2020,145,134,11
2020,124,104,20
2020,136,119,17
2020,116,102,14
2020,118,97,21
2020,144,133,11
2020,166,145,21
2020,156,136,20
2020,118,103,15
2020,117,108,9
2020,102,91,11
2020,114,98,16
2020,116,100,16
2020,110,97,13
2020,95,86,9
2020,136,120,16
2020,128,112,16
2020,123,108,15
2020,123,117,6
2020,104,93,11
2020,125,111,14
2020,106,94,12
2020,120,110,10
2020,128,100,28
2020,135,122,13
2020,139,124,15
2020,130,115,15
2020,99,85,14
2020,109,91,18
2020,115,102,13
2020,115,101,14
2020,147,123,24
2020,132,112,20
2020,139,121,18
2020,134,112,22
2020,136,118,18
2020,155,135,20
2020,140,122,18
2020,126,112,14
2020,131,117,14
2020,125,106,19
2020,130,107,23
2020,134,109,25
2020,105,92,13
2020,103,90,13
2020,127,112,15
2020,113,90,23
2020,115,99,16
2020,112,103,9
2020,118,110,8
2020,110,91,19
2020,107,91,16
2020,127,106,21
2020,121,105,16
2020,124,108,16
2020,111,99,12
2020,102,95,7
2020,111,101,10
2020,112,94,18
2020,109,97,12
2020,116,101,15
2020,118,106,12
2020,115,97,18
2020,116,99,17
2020,134,120,14
2020,111,94,17
2020,101,85,16
2020,97,85,12
2020,105,94,11
2020,104,92,12
2020,116,100,16
2020,115,100,15
2020,104,93,11
2020,117,105,12
2020,118,106,12
2020,114,97,17
2020,135,112,23
2020,101,93,8
2020,97,90,7
2020,117,101,16
2020,107,99,8
2020,109,96,13
2020,121,107,14
2020,105,89,16
2020,116,98,18
2020,110,98,12
2020,114,99,15
2020,133,122,11
2020,138,126,12
2020,121,106,15
2020,116,102,14
2020,127,113,14
2020,120,109,11
2020,116,105,11
2020,122,104,18
2020,114,99,15
2020,125,110,15
2020,127,113,14
2020,99,91,8
2020,130,114,16
2020,120,109,11
2020,107,85,22
2020,108,90,18
2020,124,104,20
2020,137,115,22
2020,146,128,18
2020,154,136,18
2020,118,104,14
2020,128,113,15
2020,131,121,10
2020,118,99,19
2020,124,110,14
2020,122,111,11
2020,127,111,16
2020,116,103,13
2020,128,105,23
2020,124,109,15
2020,139,123,16
2020,128,111,17
2020,130,124,6
2020,142,119,23
2020,130,116,14
2020,134,119,15
2020,140,128,12
2020,127,107,20
2020,149,122,27
2020,118,104,14
2020,158,142,16
2020,109,96,13
2020,116,101,15
2020,134,119,15
2020,136,124,12
2020,112,97,15
2020,117,103,14
2020,130,107,23
2020,133,115,18
2020,124,113,11
2020,147,129,18
2020,152,130,22
2020,149,125,24
2020,129,110,19
2020,127,109,18
2020,105,90,15
2020,114,91,23
2020,120,101,19
2020,131,113,18
2020,141,117,24
2020,121,104,17
2020,143,120,23
2020,151,131,20
2020,129,118,11
2020,147,114,33
2020,140,121,19
2020,135,117,18
2020,145,127,18
2020,146,127,19
2020,167,142,25
2020,137,113,24
2020,134,118,16
2020,150,125,25
2020,133,110,23
2020,169,142,27
2020,138,118,20
2020,146,121,25
2020,139,114,25
2020,151,123,28
2020,131,115,16
2020,151,136,15
2020,141,117,24
2020,173,151,22
2020,145,123,22
2020,140,120,20
2020,129,112,17
2020,155,135,20
2020,178,148,30
2020,160,146,14
2020,161,136,25
2020,150,127,23
2020,153,129,24
2020,157,139,18
2020,155,138,17
2020,175,156,19
2020,150,132,18
2020,141,129,12
2020,153,137,16
2020,144,129,15
2020,162,140,22
2020,152,137,15
2020,148,131,17
2020,148,127,21
2020,130,115,15
2020,132,114,18
2020,168,149,19
2020,169,145,24
2020,144,125,19
2020,139,117,22
2020,138,116,22
2020,126,110,16
2020,131,112,19
2020,135,103,32
2020,115,97,18
2020,136,113,23
2020,147,128,19
2020,119,102,17
2020,110,98,12
2020,126,113,13
2020,126,107,19
2020,141,123,18
2020,113,100,13
2020,102,86,16
2020,111,94,17
2020,133,113,20
2020,118,103,15
2020,117,105,12
2020,119,103,16
2020,127,110,17
2020,118,103,15
2020,120,109,11
2020,121,103,18
2020,132,115,17
2020,133,118,15
2020,178,151,27
2020,129,110,19
2020,137,117,20
2020,143,123,20
2020,144,124,20
2020,117,105,12
2020,124,108,16
2020,136,113,23
2020,128,109,19
2020,130,112,18
2020,120,94,26
2020,155,132,23
2020,136,118,18
2020,140,116,24
2020,117,102,15
2020,123,99,23
2020,144,117,27
2020,152,134,18
2020,137,122,15
2020,120,99,21
2020,145,113,32
2020,146,121,25
2020,142,122,20
2020,156,131,25
2020,138,117,21
2020,144,125,19
2020,147,122,25
2020,142,117,25
2020,137,108,29
2020,142,126,16
2020,136,114,22
2020,141,121,20
2020,135,111,24
2020,158,139,19
2020,161,136,25
2020,140,116,24
2020,189,153,36
2020,155,135,20
2020,172,146,26
2020,179,153,26
